省份,年份,法律法规类_命中次数,部门规章类_命中次数,规范性文件类_命中次数
上海,2019,1,3,0
上海,2020,5,0,0
上海,2021,8,3,0
上海,2022,216,1,0
上海,2023,9,1,0
云南,2020,1,1,0
云南,2021,2,0,0
云南,2022,0,1,0
云南,2023,1,0,0
内蒙古,2020,1,0,0
内蒙古,2022,3,0,0
内蒙古,2023,4,0,0
北京,2020,2,0,0
北京,2021,4,1,0
北京,2022,10,0,0
北京,2023,1,1,0
吉林,2017,1,0,0
吉林,2018,2,0,0
吉林,2019,2,0,0
吉林,2020,3,0,0
吉林,2022,4,1,0
吉林,2023,12,0,0
四川,2018,1,0,0
四川,2020,1,0,0
四川,2021,7,1,0
四川,2022,2,0,0
四川,2023,5,0,0
天津,2019,1,0,0
天津,2020,3,0,0
天津,2021,7,0,0
天津,2022,16,0,0
天津,2023,5,0,0
宁夏,2022,1,0,0
安徽,2017,0,1,0
安徽,2019,1,2,0
安徽,2020,1,0,0
安徽,2021,12,4,0
安徽,2022,7,0,0
安徽,2023,6,1,0
山东,2017,1,0,0
山东,2019,4,1,0
山东,2020,6,3,0
山东,2021,4,2,0
山东,2022,8,0,0
山东,2023,6,3,0
山西,2020,6,0,0
山西,2021,3,0,0
山西,2022,2,0,0
山西,2023,3,0,0
广东,2017,1,0,0
广东,2019,2,0,0
广东,2020,21,1,0
广东,2021,25,3,0
广东,2022,174,2,0
广东,2023,21,3,0
广西,2018,1,0,0
广西,2020,6,0,0
广西,2021,1,0,0
广西,2022,6,0,0
广西,2023,4,0,0
新疆,2021,1,1,0
新疆,2022,3,0,0
新疆,2023,1,0,0
江苏,2019,2,1,0
江苏,2020,9,0,0
江苏,2021,11,3,0
江苏,2022,13,0,0
江苏,2023,16,2,0
江西,2019,0,1,0
江西,2020,4,0,0
江西,2021,4,1,0
江西,2022,4,0,0
江西,2023,5,0,0
河北,2019,1,0,0
河北,2020,4,0,0
河北,2021,4,1,0
河北,2022,12,0,0
河北,2023,11,2,0
河南,2020,4,0,0
河南,2021,10,1,0
河南,2022,4,0,0
河南,2023,7,2,0
浙江,2017,1,0,0
浙江,2018,2,1,0
浙江,2019,2,2,0
浙江,2020,4,3,0
浙江,2021,9,1,0
浙江,2022,9,0,0
浙江,2023,8,4,0
海南,2019,1,0,0
海南,2020,3,1,0
海南,2021,7,1,0
海南,2022,2,0,0
海南,2023,1,0,0
湖北,2019,2,0,0
湖北,2020,3,0,0
湖北,2021,2,0,0
湖北,2022,1,0,0
湖北,2023,0,3,0
湖南,2019,1,0,0
湖南,2020,2,0,0
湖南,2021,3,0,0
湖南,2022,3,0,0
湖南,2023,4,0,0
甘肃,2020,1,0,0
甘肃,2021,4,0,0
甘肃,2022,3,0,0
甘肃,2023,10,0,0
福建,2017,1,0,0
福建,2018,2,0,0
福建,2019,1,0,0
福建,2020,2,0,0
福建,2021,3,0,0
福建,2022,3,1,0
福建,2023,3,6,0
贵州,2019,1,0,0
贵州,2020,2,0,0
贵州,2021,8,1,0
贵州,2022,6,0,0
贵州,2023,5,0,0
辽宁,2019,3,0,0
辽宁,2020,3,0,0
辽宁,2021,6,0,0
辽宁,2022,4,0,0
辽宁,2023,7,0,0
重庆,2018,1,0,0
重庆,2021,3,0,0
重庆,2022,2,1,0
重庆,2023,0,2,0
陕西,2020,3,0,0
陕西,2021,3,0,0
陕西,2022,8,0,0
陕西,2023,2,0,0
青海,2020,3,0,0
青海,2021,4,0,0
青海,2022,3,0,0
黑龙江,2021,1,1,0
黑龙江,2022,6,0,0
黑龙江,2023,1,0,0
